UMAP1,UMAP2
7.802397,-1.0715368
9.379412,12.930094
2.4396718,5.4045973
-0.54252166,0.8830103
-3.2177403,6.2771277
1.7841712,5.3201942
7.394042,1.878639
-0.7698746,0.9240313
8.186849,3.363748
10.959649,12.525463
9.151045,10.823488
10.532989,12.950301
-1.3623309,0.42567196
0.76898825,4.68732
1.0305706,5.366831
5.4821258,2.0418134
9.568913,11.934975
-0.7105207,1.9095736
8.680374,11.696011
8.608676,1.4192543
-1.2888441,1.2583964
8.802022,-0.69456995
8.473672,-0.96391404
11.278596,12.672737
0.8962837,4.0726037
8.647354,11.944686
5.422724,2.5198526
-2.676095,5.08521
-1.2844634,2.533978
-2.7193954,5.3482823
-3.1766896,5.9540396
-0.6690423,1.2009293
9.612863,10.10091
-0.8625172,1.9504259
-1.1043081,5.826761
-0.14381069,5.495427
7.6623945,2.6102786
0.82353795,4.408713
9.139789,11.409183
6.462121,2.4615238
7.894958,-1.440991
-3.7009926,6.188806
10.6315975,12.024171
8.356839,-0.62778956
9.112999,11.471846
-2.6933255,6.3508415
11.416933,12.117971
8.208066,12.19491
-2.3103275,1.4668097
10.412345,11.588062
11.041128,9.94365
10.368291,12.794138
-2.7204292,1.6877891
-2.716862,1.473645
-2.6272254,5.935578
-2.506086,0.9964494
-1.3869901,0.36439094
7.1160297,3.1017816
2.0752137,4.0278635
9.593574,11.428718
-0.9970365,0.7338061
-2.6237514,1.5892107
9.440479,11.406794
-0.08908635,6.937376
0.7007133,8.492725
8.953403,11.417041
-0.49870327,8.293676
10.811011,9.002999
-2.9613636,5.425034
7.580991,1.5633731
0.5178632,5.1666455
9.179615,12.328758
-1.2445877,1.3794656
0.7761652,9.316237
8.847897,12.553071
-2.5060136,5.8676996
-1.469981,2.2772276
-2.6519303,1.0779135
8.903013,10.987073
9.159297,12.956112
9.414205,12.361439
8.650608,-1.0128418
6.0657225,2.3986444
10.430352,12.780624
5.1480002,2.8666427
9.0148,12.623885
8.465151,-0.96932703
11.422031,9.692591
-2.6365426,6.2308536
7.804226,-0.48555487
-1.8180207,6.291916
5.061405,2.2701592
0.30268478,5.794686
9.070452,11.660464
-0.8928486,1.7104142
-0.8540447,2.648315
9.559733,12.565947
-1.6310524,5.7188277
8.551583,-0.50092435
8.394199,11.867576
6.77984,2.0233648
1.8845038,4.336797
0.73277444,8.340604
9.01101,11.501158
0.9666803,5.380474
-1.0934882,7.870453
5.1959047,2.1415768
-2.591025,5.2382913
-1.2117923,5.092392
5.4420896,1.9890484
8.645472,12.521421
-0.5887687,7.7214794
7.3845334,-0.76493156
4.84844,2.9199984
-2.5291972,5.97002
11.107326,9.810995
1.25343,4.823556
0.5159492,8.729111
-0.55916286,7.9021435
5.9669776,2.4752016
7.6113825,3.0706537
10.396678,12.999657
2.4911857,4.727603
8.187572,3.4225628
9.43116,12.81791
0.26623172,4.52218
-1.243504,0.42531112
1.2766534,3.596434
2.1182349,4.1012387
8.738852,12.877833
2.3979702,4.267456
7.8518705,1.5322629
7.8287635,3.0613441
9.918546,13.232852
10.463426,9.287297
1.4182479,3.8997986
8.207512,2.0171123
0.71852565,4.1997867
6.311091,2.9009562
7.9906535,-1.6065586
8.410558,-0.7220732
8.298237,3.2019036
5.269122,2.252356
-0.043366324,6.8240294
-0.99370533,7.955544
-1.3712438,1.5898875
-1.1206123,1.3657798
9.576853,12.977337
-0.8915224,1.4536383
9.450434,13.010244
-3.520907,6.1278872
10.4619055,11.98315
7.546472,1.9714575
0.13839862,6.769406
-2.6699467,1.5966065
7.667106,-1.1557451
0.82010746,4.8987145
10.413854,11.394613
9.718554,12.23731
10.723487,12.337804
5.3258862,2.358171
0.77228373,9.126362
-1.2163348,5.086267
10.204964,9.7553625
0.41938654,6.177308
-1.2311502,0.34235862
-2.4510522,5.956988
9.378904,11.853323
1.7064908,4.9647565
10.281341,13.244341
10.973702,9.994738
10.548003,8.78743
-2.4357066,6.31928
9.290662,12.712895
-2.7979271,1.4709766
-1.9542849,1.6660999
0.8980174,3.7120283
8.468829,1.270086
-1.1009375,7.8786135
10.8830185,12.377419
5.758014,2.394639
8.050134,-1.1769973
0.3489923,5.3217535
-0.13726354,7.1986203
7.7067094,2.8097534
-2.7027183,6.3886595
9.349229,13.160671
11.366018,9.981948
10.857319,11.809176
-0.049940415,5.2448807
9.789802,9.374757
7.450565,3.2229495
-2.2546303,1.0037059
11.304215,12.492169
-2.3308814,1.038911
-1.1895655,0.66107
-2.2899456,1.9222547
6.0177207,3.071094
-2.2012904,1.5602734
1.1974667,5.3710356
-2.507639,6.011946
8.543773,-0.571927
5.0834045,2.390007
5.852129,2.4778717
8.956523,11.480641
8.057654,1.796097
-3.6747901,6.2663326
-1.5308914,0.6902013
8.165898,2.0824435
8.179681,3.3938363
11.415476,9.509385
0.634105,4.274583
-0.9357851,8.379243
